,avg_tem,sell,age
0,1.0,28241.48579783,10
1,2.0,27548.02243903,10
2,3.0,26504.01716269,10
3,4.0,31068.682568236,10
4,5.0,30100.882056525,10
5,6.0,27093.334009686663,10
6,7.0,32359.591282186,10
7,8.0,37431.78042066,10
8,9.0,35764.58951294,10
9,10.0,39053.85326924714,10
10,11.0,37380.614364364286,10
11,12.0,38372.364944957146,10
12,13.0,39698.8721705,10
13,14.0,42045.97892325167,10
14,15.0,40060.844802805004,10
15,16.0,41619.23224090167,10
16,17.0,43646.278981924996,10
17,18.0,45860.02739638,10
18,19.0,42578.650228497994,10
19,20.0,44290.209243656,10
20,21.0,46627.155361113335,10
21,22.0,43078.55348487,10
22,23.0,47346.02030804,10
