,avg_tem,sell,age
0,1.0,96993.4245102,50
1,2.0,92101.07861632999,50
2,3.0,93206.04770459,50
3,4.0,91407.615257716,50
4,5.0,100761.75012454501,50
5,6.0,87185.87129328334,50
6,7.0,96996.472700752,50
7,8.0,108892.79851816,50
8,9.0,101511.52033728332,50
9,10.0,107729.58721687285,50
10,11.0,106060.70286998572,50
11,12.0,106145.61675064142,50
12,13.0,115144.12938227167,50
13,14.0,119042.00309671834,50
14,15.0,123005.92094049501,50
15,16.0,123657.47167870666,50
16,17.0,133026.84749857165,50
17,18.0,150245.31408261,50
18,19.0,132422.543714534,50
19,20.0,128702.22710188001,50
20,21.0,134747.80510146669,50
21,22.0,107639.23013884,50
22,23.0,141649.41662437998,50
