,avg_tem,sell,age
0,1.0,282833.98418477,30
1,2.0,275282.09200287,30
2,3.0,272111.97379221,30
3,4.0,272473.18437565,30
4,5.0,298234.967129675,30
5,6.0,251396.97858659667,30
6,7.0,280460.967811422,30
7,8.0,306895.6386385,30
8,9.0,295169.8421495222,30
9,10.0,308620.58791905,30
10,11.0,307550.45529490855,30
11,12.0,302291.2378912443,30
12,13.0,324873.6127103334,30
13,14.0,323200.91812544997,30
14,15.0,348545.352784395,30
15,16.0,334643.06354471,30
16,17.0,343886.701502965,30
17,18.0,399053.87082878,30
18,19.0,351863.308240216,30
19,20.0,345689.19820382,30
20,21.0,356363.9616429767,30
21,22.0,275541.1882037,30
22,23.0,357522.27406667,30
