,avg_tem,sell,age
0,1.0,25780.07189803,60
1,2.0,24812.271386239998,60
2,3.0,25002.7832981,60
3,4.0,24063.940597,60
4,5.0,26507.82740088,60
5,6.0,23219.591804106665,60
6,7.0,25991.921143876,60
7,8.0,29655.084183029998,60
8,9.0,27285.539360655555,60
9,10.0,29545.67591369714,60
10,11.0,28766.210034777145,60
11,12.0,28941.480993595713,60
12,13.0,33151.61280331667,60
13,14.0,36028.342670735,60
14,15.0,35080.86342971,60
15,16.0,37195.54565006,60
16,17.0,40525.693867505,60
17,18.0,47224.09268469,60
18,19.0,41217.633130954004,60
19,20.0,37639.057380622,60
20,21.0,41282.661196843335,60
21,22.0,27220.34195076,60
22,23.0,41783.07248498,60
